collateral_id,customer_id,credit_proposal_id,facility_id,collateral_type,charge_type,charge_rank,currency,collateral_value,haircut_pct,valuation_date,expiry_date
COLA-0715,C001,20240715,F102,Commercial property,Fixed,First,GBP,9300000,0.35,2024-05-31,
COLB-0812,C001,20250812,F102,Commercial property,Fixed,First,GBP,9300000,0.35,2025-09-30,
COLC-0812,C001,20250812,F103,Standby letter of credit,Fixed,First,GBP,1500000,0.1,2025-08-01,2026-08-31
COLD-0904,C001,20260904,F103,Standby letter of credit,Fixed,First,GBP,1500000,0.1,2026-08-01,2027-08-31
COLE-0904,C001,20260904,F105,Vehicle fleet charge,Fixed,First,GBP,900000,0.5,2026-05-31,
COLF-0310,C002,20250310,F202,Cash deposit,Fixed,First,GBP,2500000,0.0,2025-03-01,
COLG-0815,C002,20260815,F202,Cash deposit,Fixed,First,GBP,2500000,0.0,2026-08-01,
COLH-0815,C002,20260815,F203,Commercial property,Fixed,First,GBP,5400000,0.35,2026-07-31,
COLI-0620,C003,20260620,F301,Commercial property,Fixed,First,GBP,4000000,0.35,2026-04-30,
COLJ-0905,C004,20250905,F401,Plant and equipment,Fixed,First,GBP,1500000,0.5,2025-07-31,
COLM-0905,C004,20250905,F404,Vehicle fleet charge,Fixed,First,GBP,900000,0.5,,
COLK-0910,C004,20260910,F401,Plant and equipment,Fixed,First,GBP,1500000,0.5,2026-07-31,
COLL-0910,C004,20260910,F403,Commercial property,Fixed,First,EUR,3500000,0.35,2026-08-31,
COLM-0910,C004,20260910,F404,Vehicle fleet charge,Fixed,First,GBP,900000,0.5,,
COLK-0925,C004,20260925,F401,Plant and equipment,Fixed,First,GBP,1500000,0.5,2026-07-31,
COLL-0925,C004,20260925,F403,Commercial property,Fixed,First,EUR,3500000,0.35,2026-08-31,
COLM-0925,C004,20260925,F404,Vehicle fleet charge,Fixed,First,GBP,900000,0.5,,
COLN-1110,C005,20251110,F501,Commercial property,Fixed,First,GBP,8000000,0.35,2019-06-30,
COLO-0220,C006,20250220,F601,Commercial property,Fixed,First,GBP,12000000,0.35,2025-01-31,
COLP-0710,C006,20260710,F601,Commercial property,Fixed,First,GBP,12000000,0.35,2026-03-31,
COLQ-0620,C007,20250620,F702,Plant and machinery,Fixed,First,GBP,1500000,0.5,2025-05-31,
COLR-0820,C007,20260820,F702,Plant and machinery,Fixed,First,GBP,1500000,0.5,2026-05-31,
